Log file created at  2019-05-09 01:35:46
Run script: main_Meta_Bayes.py
Parameters:
Namespace(K_Shot_MetaTest=50, K_Shot_MetaTrain=50, N_Way=5, batch_size=16, chars_split_type='random', complexity_type='PAC_Bayes_Pentina', data_path='/data5/tlgao/meta/meta-learning-adjusting-priors/ML_data_sets', data_source='Caltech256', data_transform='None', from_pretrain=None, limit_train_samples_in_test_tasks=2000, load_model_path='', loss_type='CrossEntropy', lr=0.001, meta_batch_size=16, meta_complex_w=0.01, mode='MetaTrain', model_name='CIFARNet', n_inner_steps=50, n_meta_test_epochs=40, n_meta_train_chars=1200, n_meta_train_classes=500, n_meta_train_epochs=50, n_pixels_shuffles=200, n_test_tasks=10, n_train_tasks=9, result_dir='saved_epoch/Caltech256__comp_PAC_Bayes_Pentina_ntr_9_nte_10_task-w_0.01_meta-w_0.01', run_name='Caltech256__comp_PAC_Bayes_Pentina_ntr_9_nte_10_task-w_0.01_meta-w_0.01', seed=1, task_complex_w=0.01, test_batch_size=128)
--------------------------------------------------
--- Generating 9 training-tasks
Stochastic-CIFARNet
---- Meta-Training set: 9 tasks
Run finished at:  2019-05-09 03:21:47
MaxPosterior Average Test Error: 39.7%	 Runtime: 6226.668678127229 [sec]
Trained prior saved in saved_epoch/Caltech256__comp_PAC_Bayes_Pentina_ntr_9_nte_10_task-w_0.01_meta-w_0.01/model.pt
---- Generating 10 test-tasks with at most 2000 training samples
Meta-Testing with transferred prior....
---------------------Test on Epoch_0------------------------
Meta-Testing task 1 out of 10...
(0.0%)	Epoch: 0 	 Batch: 0 	 Objective: 1.615 	  Acc: 0.188	 Empiric Loss: 1.615	 Intra-Comp. 0.0
(2.5%)	Epoch: 1 	 Batch: 0 	 Objective: 0.9472 	  Acc: 0.688	 Empiric Loss: 0.9471	 Intra-Comp. 7.278e-06
(5.0%)	Epoch: 2 	 Batch: 0 	 Objective: 1.067 	  Acc: 0.438	 Empiric Loss: 1.067	 Intra-Comp. 1.708e-05
(7.5%)	Epoch: 3 	 Batch: 0 	 Objective: 0.7004 	  Acc: 0.812	 Empiric Loss: 0.7004	 Intra-Comp. 2.24e-05
(10.0%)	Epoch: 4 	 Batch: 0 	 Objective: 0.443 	  Acc: 0.812	 Empiric Loss: 0.443	 Intra-Comp. 2.905e-05
(12.5%)	Epoch: 5 	 Batch: 0 	 Objective: 0.6474 	  Acc: 0.688	 Empiric Loss: 0.6474	 Intra-Comp. 3.818e-05
(15.0%)	Epoch: 6 	 Batch: 0 	 Objective: 0.2077 	  Acc: 0.938	 Empiric Loss: 0.2077	 Intra-Comp. 4.451e-05
(17.5%)	Epoch: 7 	 Batch: 0 	 Objective: 0.1798 	  Acc: 0.938	 Empiric Loss: 0.1798	 Intra-Comp. 5.393e-05
(20.0%)	Epoch: 8 	 Batch: 0 	 Objective: 0.2312 	  Acc: 0.938	 Empiric Loss: 0.2312	 Intra-Comp. 6.094e-05
(22.5%)	Epoch: 9 	 Batch: 0 	 Objective: 0.2555 	  Acc: 0.938	 Empiric Loss: 0.2555	 Intra-Comp. 7.21e-05
(25.0%)	Epoch: 10 	 Batch: 0 	 Objective: 0.1766 	  Acc: 0.938	 Empiric Loss: 0.1766	 Intra-Comp. 8.345e-05
