Log file created at  2019-04-22 23:10:16
Run script: main_Meta_Bayes.py
Parameters:
Namespace(K_Shot_MetaTest=100, K_Shot_MetaTrain=100, N_Way=5, batch_size=16, chars_split_type='random', complexity_type='NewBoundSeeger', data_path='/data5/tlgao/meta/meta-learning-adjusting-priors/ML_data_sets', data_source='CIFAR100', data_transform='None', limit_train_samples_in_test_tasks=2000, load_model_path='', loss_type='CrossEntropy', lr=0.001, meta_batch_size=16, meta_complex_w=0.0, mode='MetaTrain', model_name='CIFARNet', n_inner_steps=50, n_meta_test_epochs=40, n_meta_train_chars=1200, n_meta_train_classes=500, n_meta_train_epochs=50, n_pixels_shuffles=200, n_test_tasks=50, n_train_tasks=15, result_dir='saved/CIFAR100__comp_NewBoundSeeger_ntr_15_nte_50_task-w_0.01_meta-w_0.0', run_name='CIFAR100__comp_NewBoundSeeger_ntr_15_nte_50_task-w_0.01_meta-w_0.0', seed=1, task_complex_w=0.01, test_batch_size=128)
--------------------------------------------------
--- Generating 15 training-tasks
Stochastic-CIFARNet
---- Meta-Training set: 15 tasks
Run finished at:  2019-04-22 23:44:38
MaxPosterior Average Test Error: 30.1%	 Runtime: 2027.6676403647289 [sec]
Trained prior saved in saved/CIFAR100__comp_NewBoundSeeger_ntr_15_nte_50_task-w_0.01_meta-w_0.0/model.pt
---- Generating 50 test-tasks with at most 2000 training samples
Meta-Testing with transferred prior....
(0.0%)	Epoch: 0 	 Batch: 0 	 Objective: 1.622 	  Acc: 0.125	 Empiric Loss: 1.62	 Intra-Comp. 0.237
(2.5%)	Epoch: 1 	 Batch: 0 	 Objective: 1.087 	  Acc: 0.625	 Empiric Loss: 1.085	 Intra-Comp. 0.1989
(5.0%)	Epoch: 2 	 Batch: 0 	 Objective: 0.7377 	  Acc: 0.812	 Empiric Loss: 0.736	 Intra-Comp. 0.1686
(7.5%)	Epoch: 3 	 Batch: 0 	 Objective: 0.7635 	  Acc: 0.75	 Empiric Loss: 0.7618	 Intra-Comp. 0.1711
(10.0%)	Epoch: 4 	 Batch: 0 	 Objective: 0.9276 	  Acc: 0.625	 Empiric Loss: 0.9258	 Intra-Comp. 0.1858
(12.5%)	Epoch: 5 	 Batch: 0 	 Objective: 0.672 	  Acc: 0.812	 Empiric Loss: 0.6704	 Intra-Comp. 0.1622
(15.0%)	Epoch: 6 	 Batch: 0 	 Objective: 0.7601 	  Acc: 0.75	 Empiric Loss: 0.7584	 Intra-Comp. 0.1708
(17.5%)	Epoch: 7 	 Batch: 0 	 Objective: 0.5804 	  Acc: 0.812	 Empiric Loss: 0.5788	 Intra-Comp. 0.1527
(20.0%)	Epoch: 8 	 Batch: 0 	 Objective: 0.6143 	  Acc: 0.75	 Empiric Loss: 0.6127	 Intra-Comp. 0.1563
(22.5%)	Epoch: 9 	 Batch: 0 	 Objective: 0.6593 	  Acc: 0.75	 Empiric Loss: 0.6577	 Intra-Comp. 0.1609
(25.0%)	Epoch: 10 	 Batch: 0 	 Objective: 0.4375 	  Acc: 0.812	 Empiric Loss: 0.4361	 Intra-Comp. 0.1361
(27.5%)	Epoch: 11 	 Batch: 0 	 Objective: 0.684 	  Acc: 0.625	 Empiric Loss: 0.6824	 Intra-Comp. 0.1634
(30.0%)	Epoch: 12 	 Batch: 0 	 Objective: 0.45 	  Acc: 0.812	 Empiric Loss: 0.4486	 Intra-Comp. 0.1377
(32.5%)	Epoch: 13 	 Batch: 0 	 Objective: 0.6293 	  Acc: 0.812	 Empiric Loss: 0.6277	 Intra-Comp. 0.1579
(35.0%)	Epoch: 14 	 Batch: 0 	 Objective: 0.6351 	  Acc: 0.688	 Empiric Loss: 0.6335	 Intra-Comp. 0.1585
(37.5%)	Epoch: 15 	 Batch: 0 	 Objective: 0.3198 	  Acc: 0.875	 Empiric Loss: 0.3186	 Intra-Comp. 0.1203
(40.0%)	Epoch: 16 	 Batch: 0 	 Objective: 0.2773 	  Acc: 0.875	 Empiric Loss: 0.2761	 Intra-Comp. 0.1139
(42.5%)	Epoch: 17 	 Batch: 0 	 Objective: 0.1463 	  Acc: 1.0	 Empiric Loss: 0.1454	 Intra-Comp. 0.09011
(45.0%)	Epoch: 18 	 Batch: 0 	 Objective: 0.475 	  Acc: 0.812	 Empiric Loss: 0.4736	 Intra-Comp. 0.1407
(47.5%)	Epoch: 19 	 Batch: 0 	 Objective: 0.2524 	  Acc: 0.875	 Empiric Loss: 0.2513	 Intra-Comp. 0.1099
(50.0%)	Epoch: 20 	 Batch: 0 	 Objective: 0.1388 	  Acc: 0.938	 Empiric Loss: 0.1379	 Intra-Comp. 0.08848
(52.5%)	Epoch: 21 	 Batch: 0 	 Objective: 0.09448 	  Acc: 1.0	 Empiric Loss: 0.09371	 Intra-Comp. 0.07772
(55.0%)	Epoch: 22 	 Batch: 0 	 Objective: 0.06847 	  Acc: 1.0	 Empiric Loss: 0.06777	 Intra-Comp. 0.07017
(57.5%)	Epoch: 23 	 Batch: 0 	 Objective: 0.06855 	  Acc: 1.0	 Empiric Loss: 0.06785	 Intra-Comp. 0.07019
