Log file created at  2019-05-03 11:00:16
Run script: main_Meta_Bayes.py
Parameters:
Namespace(K_Shot_MetaTest=50, K_Shot_MetaTrain=50, N_Way=5, batch_size=16, chars_split_type='random', complexity_type='PAC_Bayes_Pentina', data_path='/data5/tlgao/meta/meta-learning-adjusting-priors/ML_data_sets', data_source='CIFAR100', data_transform='None', limit_train_samples_in_test_tasks=2000, load_model_path='', loss_type='CrossEntropy', lr=0.001, meta_batch_size=16, meta_complex_w=0.0, mode='MetaTrain', model_name='CIFARNet', n_inner_steps=50, n_meta_test_epochs=40, n_meta_train_chars=1200, n_meta_train_classes=500, n_meta_train_epochs=50, n_pixels_shuffles=200, n_test_tasks=10, n_train_tasks=9, result_dir='saved_epoch/CIFAR100__comp_PAC_Bayes_Pentina_ntr_9_nte_10_task-w_0.01_meta-w_0', run_name='CIFAR100__comp_PAC_Bayes_Pentina_ntr_9_nte_10_task-w_0.01_meta-w_0', seed=1, task_complex_w=0.01, test_batch_size=128)
--------------------------------------------------
--- Generating 9 training-tasks
Stochastic-CIFARNet
---- Meta-Training set: 9 tasks
Run finished at:  2019-05-03 11:17:19
MaxPosterior Average Test Error: 34.6%	 Runtime: 1000.5495404722169 [sec]
Trained prior saved in saved_epoch/CIFAR100__comp_PAC_Bayes_Pentina_ntr_9_nte_10_task-w_0.01_meta-w_0/model.pt
---- Generating 10 test-tasks with at most 2000 training samples
Meta-Testing with transferred prior....
---------------------Test on Epoch_0------------------------
Meta-Testing task 1 out of 10...
(0.0%)	Epoch: 0 	 Batch: 0 	 Objective: 1.654 	  Acc: 0.188	 Empiric Loss: 1.654	 Intra-Comp. 0.0
(2.5%)	Epoch: 1 	 Batch: 0 	 Objective: 0.9379 	  Acc: 0.562	 Empiric Loss: 0.9379	 Intra-Comp. 1.098e-05
(5.0%)	Epoch: 2 	 Batch: 0 	 Objective: 0.8601 	  Acc: 0.625	 Empiric Loss: 0.8601	 Intra-Comp. 2.245e-05
(7.5%)	Epoch: 3 	 Batch: 0 	 Objective: 1.052 	  Acc: 0.625	 Empiric Loss: 1.052	 Intra-Comp. 2.818e-05
(10.0%)	Epoch: 4 	 Batch: 0 	 Objective: 0.4667 	  Acc: 0.938	 Empiric Loss: 0.4667	 Intra-Comp. 3.359e-05
(12.5%)	Epoch: 5 	 Batch: 0 	 Objective: 0.7494 	  Acc: 0.688	 Empiric Loss: 0.7494	 Intra-Comp. 3.67e-05
(15.0%)	Epoch: 6 	 Batch: 0 	 Objective: 0.2943 	  Acc: 0.875	 Empiric Loss: 0.2943	 Intra-Comp. 4.326e-05
(17.5%)	Epoch: 7 	 Batch: 0 	 Objective: 0.3354 	  Acc: 0.812	 Empiric Loss: 0.3354	 Intra-Comp. 4.982e-05
(20.0%)	Epoch: 8 	 Batch: 0 	 Objective: 0.4098 	  Acc: 0.875	 Empiric Loss: 0.4098	 Intra-Comp. 5.818e-05
(22.5%)	Epoch: 9 	 Batch: 0 	 Objective: 0.6356 	  Acc: 0.812	 Empiric Loss: 0.6356	 Intra-Comp. 6.518e-05
(25.0%)	Epoch: 10 	 Batch: 0 	 Objective: 1.254 	  Acc: 0.625	 Empiric Loss: 1.254	 Intra-Comp. 7.304e-05
(27.5%)	Epoch: 11 	 Batch: 0 	 Objective: 0.2404 	  Acc: 0.938	 Empiric Loss: 0.2404	 Intra-Comp. 8.091e-05
(30.0%)	Epoch: 12 	 Batch: 0 	 Objective: 0.1604 	  Acc: 1.0	 Empiric Loss: 0.1604	 Intra-Comp. 8.995e-05
(32.5%)	Epoch: 13 	 Batch: 0 	 Objective: 0.1259 	  Acc: 1.0	 Empiric Loss: 0.1259	 Intra-Comp. 9.649e-05
(35.0%)	Epoch: 14 	 Batch: 0 	 Objective: 0.1528 	  Acc: 0.938	 Empiric Loss: 0.1528	 Intra-Comp. 0.0001057
(37.5%)	Epoch: 15 	 Batch: 0 	 Objective: 0.3947 	  Acc: 0.812	 Empiric Loss: 0.3947	 Intra-Comp. 0.0001131
(40.0%)	Epoch: 16 	 Batch: 0 	 Objective: 0.2931 	  Acc: 0.875	 Empiric Loss: 0.2931	 Intra-Comp. 0.0001207
(42.5%)	Epoch: 17 	 Batch: 0 	 Objective: 0.03922 	  Acc: 1.0	 Empiric Loss: 0.03922	 Intra-Comp. 0.0001267
(45.0%)	Epoch: 18 	 Batch: 0 	 Objective: 0.1381 	  Acc: 0.938	 Empiric Loss: 0.1381	 Intra-Comp. 0.0001349
(47.5%)	Epoch: 19 	 Batch: 0 	 Objective: 0.01176 	  Acc: 1.0	 Empiric Loss: 0.01176	 Intra-Comp. 0.0001419
(50.0%)	Epoch: 20 	 Batch: 0 	 Objective: 0.04016 	  Acc: 1.0	 Empiric Loss: 0.04016	 Intra-Comp. 0.0001459
(52.5%)	Epoch: 21 	 Batch: 0 	 Objective: 0.2073 	  Acc: 0.875	 Empiric Loss: 0.2073	 Intra-Comp. 0.0001511
(55.0%)	Epoch: 22 	 Batch: 0 	 Objective: 0.1204 	  Acc: 0.938	 Empiric Loss: 0.1204	 Intra-Comp. 0.0001563
(57.5%)	Epoch: 23 	 Batch: 0 	 Objective: 0.01533 	  Acc: 1.0	 Empiric Loss: 0.01533	 Intra-Comp. 0.0001611
(60.0%)	Epoch: 24 	 Batch: 0 	 Objective: 0.00541 	  Acc: 1.0	 Empiric Loss: 0.005409	 Intra-Comp. 0.0001658
(62.5%)	Epoch: 25 	 Batch: 0 	 Objective: 0.1758 	  Acc: 0.938	 Empiric Loss: 0.1758	 Intra-Comp. 0.0001713
(65.0%)	Epoch: 26 	 Batch: 0 	 Objective: 0.1284 	  Acc: 0.938	 Empiric Loss: 0.1284	 Intra-Comp. 0.0001783
(67.5%)	Epoch: 27 	 Batch: 0 	 Objective: 0.5381 	  Acc: 0.812	 Empiric Loss: 0.5381	 Intra-Comp. 0.0001857
(70.0%)	Epoch: 28 	 Batch: 0 	 Objective: 0.1321 	  Acc: 0.938	 Empiric Loss: 0.1321	 Intra-Comp. 0.0001894
(72.5%)	Epoch: 29 	 Batch: 0 	 Objective: 0.1106 	  Acc: 0.938	 Empiric Loss: 0.1105	 Intra-Comp. 0.0001963
(75.0%)	Epoch: 30 	 Batch: 0 	 Objective: 0.007378 	  Acc: 1.0	 Empiric Loss: 0.007376	 Intra-Comp. 0.0002023
(77.5%)	Epoch: 31 	 Batch: 0 	 Objective: 0.01045 	  Acc: 1.0	 Empiric Loss: 0.01045	 Intra-Comp. 0.0002036
(80.0%)	Epoch: 32 	 Batch: 0 	 Objective: 0.00735 	  Acc: 1.0	 Empiric Loss: 0.007348	 Intra-Comp. 0.0002056
(82.5%)	Epoch: 33 	 Batch: 0 	 Objective: 0.002545 	  Acc: 1.0	 Empiric Loss: 0.002543	 Intra-Comp. 0.0002081
(85.0%)	Epoch: 34 	 Batch: 0 	 Objective: 0.1062 	  Acc: 0.938	 Empiric Loss: 0.1062	 Intra-Comp. 0.0002097
(87.5%)	Epoch: 35 	 Batch: 0 	 Objective: 0.003674 	  Acc: 1.0	 Empiric Loss: 0.003672	 Intra-Comp. 0.0002117
(90.0%)	Epoch: 36 	 Batch: 0 	 Objective: 0.1104 	  Acc: 0.938	 Empiric Loss: 0.1104	 Intra-Comp. 0.0002128
(92.5%)	Epoch: 37 	 Batch: 0 	 Objective: 0.001902 	  Acc: 1.0	 Empiric Loss: 0.0019	 Intra-Comp. 0.0002142
(95.0%)	Epoch: 38 	 Batch: 0 	 Objective: 0.001575 	  Acc: 1.0	 Empiric Loss: 0.001573	 Intra-Comp. 0.0002151
(97.5%)	Epoch: 39 	 Batch: 0 	 Objective: 0.00155 	  Acc: 1.0	 Empiric Loss: 0.001548	 Intra-Comp. 0.0002159
MaxPosterior Average Test Error: 36.1%	 Runtime: 91.51623565331101 [sec]
Meta-Testing task 2 out of 10...
(0.0%)	Epoch: 0 	 Batch: 0 	 Objective: 1.615 	  Acc: 0.312	 Empiric Loss: 1.615	 Intra-Comp. 0.0
