Log file created at  2019-04-22 17:21:45
Run script: main_Meta_Bayes.py
Parameters:
Namespace(K_Shot_MetaTest=100, K_Shot_MetaTrain=100, N_Way=5, batch_size=16, chars_split_type='random', complexity_type='NewBoundSeeger', data_path='/data5/tlgao/meta/meta-learning-adjusting-priors/ML_data_sets', data_source='CIFAR100', data_transform='None', limit_train_samples_in_test_tasks=2000, load_model_path='', loss_type='CrossEntropy', lr=0.001, meta_batch_size=16, meta_complex_w=0.1, mode='MetaTrain', model_name='CIFARNet', n_inner_steps=50, n_meta_test_epochs=40, n_meta_train_chars=1200, n_meta_train_classes=500, n_meta_train_epochs=50, n_pixels_shuffles=200, n_test_tasks=50, n_train_tasks=9, result_dir='saved/CIFAR100__comp_NewBoundSeeger_ntr_9_nte_50_task-w_0.1_meta-w_0.1', run_name='CIFAR100__comp_NewBoundSeeger_ntr_9_nte_50_task-w_0.1_meta-w_0.1', seed=1, task_complex_w=0.1, test_batch_size=128)
--------------------------------------------------
--- Generating 9 training-tasks
Stochastic-CIFARNet
---- Meta-Training set: 9 tasks
Run finished at:  2019-04-22 17:43:41
MaxPosterior Average Test Error: 28.5%	 Runtime: 1286.7157539436594 [sec]
Trained prior saved in saved/CIFAR100__comp_NewBoundSeeger_ntr_9_nte_50_task-w_0.1_meta-w_0.1/model.pt
---- Generating 50 test-tasks with at most 2000 training samples
Meta-Testing with transferred prior....
(0.0%)	Epoch: 0 	 Batch: 0 	 Objective: 1.627 	  Acc: 0.188	 Empiric Loss: 1.603	 Intra-Comp. 0.236
(2.5%)	Epoch: 1 	 Batch: 0 	 Objective: 0.9181 	  Acc: 0.688	 Empiric Loss: 0.8997	 Intra-Comp. 0.1836
(5.0%)	Epoch: 2 	 Batch: 0 	 Objective: 0.8454 	  Acc: 0.75	 Empiric Loss: 0.8277	 Intra-Comp. 0.1772
(7.5%)	Epoch: 3 	 Batch: 0 	 Objective: 0.7265 	  Acc: 0.625	 Empiric Loss: 0.7099	 Intra-Comp. 0.1661
(10.0%)	Epoch: 4 	 Batch: 0 	 Objective: 0.9009 	  Acc: 0.688	 Empiric Loss: 0.8827	 Intra-Comp. 0.1821
(12.5%)	Epoch: 5 	 Batch: 0 	 Objective: 0.1222 	  Acc: 1.0	 Empiric Loss: 0.1139	 Intra-Comp. 0.08284
(15.0%)	Epoch: 6 	 Batch: 0 	 Objective: 0.9698 	  Acc: 0.75	 Empiric Loss: 0.951	 Intra-Comp. 0.188
(17.5%)	Epoch: 7 	 Batch: 0 	 Objective: 0.4587 	  Acc: 0.812	 Empiric Loss: 0.445	 Intra-Comp. 0.1372
(20.0%)	Epoch: 8 	 Batch: 0 	 Objective: 0.5292 	  Acc: 0.75	 Empiric Loss: 0.5146	 Intra-Comp. 0.1455
(22.5%)	Epoch: 9 	 Batch: 0 	 Objective: 0.7557 	  Acc: 0.688	 Empiric Loss: 0.7388	 Intra-Comp. 0.1689
(25.0%)	Epoch: 10 	 Batch: 0 	 Objective: 0.3005 	  Acc: 0.875	 Empiric Loss: 0.2889	 Intra-Comp. 0.1158
(27.5%)	Epoch: 11 	 Batch: 0 	 Objective: 0.1503 	  Acc: 1.0	 Empiric Loss: 0.1414	 Intra-Comp. 0.08921
(30.0%)	Epoch: 12 	 Batch: 0 	 Objective: 0.167 	  Acc: 1.0	 Empiric Loss: 0.1578	 Intra-Comp. 0.09271
(32.5%)	Epoch: 13 	 Batch: 0 	 Objective: 0.2707 	  Acc: 0.938	 Empiric Loss: 0.2595	 Intra-Comp. 0.1112
(35.0%)	Epoch: 14 	 Batch: 0 	 Objective: 0.4258 	  Acc: 0.938	 Empiric Loss: 0.4124	 Intra-Comp. 0.1331
(37.5%)	Epoch: 15 	 Batch: 0 	 Objective: 0.161 	  Acc: 0.938	 Empiric Loss: 0.1519	 Intra-Comp. 0.09148
(40.0%)	Epoch: 16 	 Batch: 0 	 Objective: 0.1988 	  Acc: 0.938	 Empiric Loss: 0.1889	 Intra-Comp. 0.0989
(42.5%)	Epoch: 17 	 Batch: 0 	 Objective: 0.1775 	  Acc: 0.938	 Empiric Loss: 0.168	 Intra-Comp. 0.09481
(45.0%)	Epoch: 18 	 Batch: 0 	 Objective: 0.108 	  Acc: 1.0	 Empiric Loss: 0.1	 Intra-Comp. 0.07938
(47.5%)	Epoch: 19 	 Batch: 0 	 Objective: 0.02322 	  Acc: 1.0	 Empiric Loss: 0.01827	 Intra-Comp. 0.0495
(50.0%)	Epoch: 20 	 Batch: 0 	 Objective: 0.05439 	  Acc: 1.0	 Empiric Loss: 0.04805	 Intra-Comp. 0.06337
(52.5%)	Epoch: 21 	 Batch: 0 	 Objective: 0.1471 	  Acc: 0.875	 Empiric Loss: 0.1382	 Intra-Comp. 0.08854
