Log file created at  2019-04-22 22:58:59
Run script: main_Meta_Bayes.py
Parameters:
Namespace(K_Shot_MetaTest=100, K_Shot_MetaTrain=100, N_Way=5, batch_size=16, chars_split_type='random', complexity_type='NewBoundSeeger', data_path='/data5/tlgao/meta/meta-learning-adjusting-priors/ML_data_sets', data_source='CIFAR100', data_transform='None', limit_train_samples_in_test_tasks=2000, load_model_path='', loss_type='CrossEntropy', lr=0.001, meta_batch_size=16, meta_complex_w=0.1, mode='MetaTrain', model_name='CIFARNet', n_inner_steps=50, n_meta_test_epochs=40, n_meta_train_chars=1200, n_meta_train_classes=500, n_meta_train_epochs=50, n_pixels_shuffles=200, n_test_tasks=50, n_train_tasks=50, result_dir='saved/CIFAR100__comp_NewBoundSeeger_ntr_50_nte_50_task-w_0.1_meta-w_0.1', run_name='CIFAR100__comp_NewBoundSeeger_ntr_50_nte_50_task-w_0.1_meta-w_0.1', seed=1, task_complex_w=0.1, test_batch_size=128)
--------------------------------------------------
--- Generating 50 training-tasks
Stochastic-CIFARNet
---- Meta-Training set: 50 tasks
Run finished at:  2019-04-23 01:04:56
MaxPosterior Average Test Error: 29.8%	 Runtime: 7444.917047149502 [sec]
Trained prior saved in saved/CIFAR100__comp_NewBoundSeeger_ntr_50_nte_50_task-w_0.1_meta-w_0.1/model.pt
---- Generating 50 test-tasks with at most 2000 training samples
Meta-Testing with transferred prior....
(0.0%)	Epoch: 0 	 Batch: 0 	 Objective: 1.683 	  Acc: 0.125	 Empiric Loss: 1.659	 Intra-Comp. 0.2395
(2.5%)	Epoch: 1 	 Batch: 0 	 Objective: 1.428 	  Acc: 0.5	 Empiric Loss: 1.406	 Intra-Comp. 0.2227
(5.0%)	Epoch: 2 	 Batch: 0 	 Objective: 1.05 	  Acc: 0.688	 Empiric Loss: 1.031	 Intra-Comp. 0.1946
(7.5%)	Epoch: 3 	 Batch: 0 	 Objective: 1.17 	  Acc: 0.5	 Empiric Loss: 1.15	 Intra-Comp. 0.204
(10.0%)	Epoch: 4 	 Batch: 0 	 Objective: 1.009 	  Acc: 0.562	 Empiric Loss: 0.9898	 Intra-Comp. 0.1912
(12.5%)	Epoch: 5 	 Batch: 0 	 Objective: 0.8156 	  Acc: 0.812	 Empiric Loss: 0.7982	 Intra-Comp. 0.1745
(15.0%)	Epoch: 6 	 Batch: 0 	 Objective: 1.036 	  Acc: 0.562	 Empiric Loss: 1.017	 Intra-Comp. 0.1935
(17.5%)	Epoch: 7 	 Batch: 0 	 Objective: 0.4467 	  Acc: 0.938	 Empiric Loss: 0.4331	 Intra-Comp. 0.1357
(20.0%)	Epoch: 8 	 Batch: 0 	 Objective: 0.9061 	  Acc: 0.625	 Empiric Loss: 0.8879	 Intra-Comp. 0.1826
(22.5%)	Epoch: 9 	 Batch: 0 	 Objective: 0.5697 	  Acc: 0.75	 Empiric Loss: 0.5547	 Intra-Comp. 0.15
(25.0%)	Epoch: 10 	 Batch: 0 	 Objective: 0.2672 	  Acc: 0.875	 Empiric Loss: 0.2562	 Intra-Comp. 0.1107
(27.5%)	Epoch: 11 	 Batch: 0 	 Objective: 0.2303 	  Acc: 0.938	 Empiric Loss: 0.2198	 Intra-Comp. 0.1045
