Log file created at  2019-04-22 23:11:39
Run script: main_Meta_Bayes.py
Parameters:
Namespace(K_Shot_MetaTest=100, K_Shot_MetaTrain=100, N_Way=5, batch_size=16, chars_split_type='random', complexity_type='NewBoundSeeger', data_path='/data5/tlgao/meta/meta-learning-adjusting-priors/ML_data_sets', data_source='CIFAR100', data_transform='None', limit_train_samples_in_test_tasks=2000, load_model_path='', loss_type='CrossEntropy', lr=0.001, meta_batch_size=16, meta_complex_w=0.0, mode='MetaTrain', model_name='CIFARNet', n_inner_steps=50, n_meta_test_epochs=40, n_meta_train_chars=1200, n_meta_train_classes=500, n_meta_train_epochs=50, n_pixels_shuffles=200, n_test_tasks=8, n_train_tasks=11, result_dir='saved/CIFAR100__comp_NewBoundSeeger_ntr_11_nte_8_task-w_0.01_meta-w_0.0', run_name='CIFAR100__comp_NewBoundSeeger_ntr_11_nte_8_task-w_0.01_meta-w_0.0', seed=1, task_complex_w=0.01, test_batch_size=128)
--------------------------------------------------
--- Generating 11 training-tasks
Stochastic-CIFARNet
---- Meta-Training set: 11 tasks
Run finished at:  2019-04-22 23:38:17
MaxPosterior Average Test Error: 29.6%	 Runtime: 1570.4182049231604 [sec]
Trained prior saved in saved/CIFAR100__comp_NewBoundSeeger_ntr_11_nte_8_task-w_0.01_meta-w_0.0/model.pt
---- Generating 8 test-tasks with at most 2000 training samples
Meta-Testing with transferred prior....
(0.0%)	Epoch: 0 	 Batch: 0 	 Objective: 1.646 	  Acc: 0.0625	 Empiric Loss: 1.644	 Intra-Comp. 0.2386
(2.5%)	Epoch: 1 	 Batch: 0 	 Objective: 1.441 	  Acc: 0.375	 Empiric Loss: 1.439	 Intra-Comp. 0.225
(5.0%)	Epoch: 2 	 Batch: 0 	 Objective: 1.224 	  Acc: 0.438	 Empiric Loss: 1.221	 Intra-Comp. 0.2094
(7.5%)	Epoch: 3 	 Batch: 0 	 Objective: 1.002 	  Acc: 0.5	 Empiric Loss: 0.9999	 Intra-Comp. 0.1921
(10.0%)	Epoch: 4 	 Batch: 0 	 Objective: 0.7955 	  Acc: 0.625	 Empiric Loss: 0.7938	 Intra-Comp. 0.1741
(12.5%)	Epoch: 5 	 Batch: 0 	 Objective: 1.315 	  Acc: 0.375	 Empiric Loss: 1.313	 Intra-Comp. 0.2161
(15.0%)	Epoch: 6 	 Batch: 0 	 Objective: 1.035 	  Acc: 0.5	 Empiric Loss: 1.034	 Intra-Comp. 0.1948
(17.5%)	Epoch: 7 	 Batch: 0 	 Objective: 1.058 	  Acc: 0.5	 Empiric Loss: 1.056	 Intra-Comp. 0.1966
(20.0%)	Epoch: 8 	 Batch: 0 	 Objective: 0.5795 	  Acc: 0.688	 Empiric Loss: 0.578	 Intra-Comp. 0.1526
(22.5%)	Epoch: 9 	 Batch: 0 	 Objective: 0.8822 	  Acc: 0.625	 Empiric Loss: 0.8803	 Intra-Comp. 0.1819
(25.0%)	Epoch: 10 	 Batch: 0 	 Objective: 0.5861 	  Acc: 0.75	 Empiric Loss: 0.5846	 Intra-Comp. 0.1533
(27.5%)	Epoch: 11 	 Batch: 0 	 Objective: 0.7226 	  Acc: 0.75	 Empiric Loss: 0.7209	 Intra-Comp. 0.1672
(30.0%)	Epoch: 12 	 Batch: 0 	 Objective: 0.5655 	  Acc: 0.812	 Empiric Loss: 0.564	 Intra-Comp. 0.1511
(32.5%)	Epoch: 13 	 Batch: 0 	 Objective: 0.4852 	  Acc: 0.75	 Empiric Loss: 0.4837	 Intra-Comp. 0.1419
(35.0%)	Epoch: 14 	 Batch: 0 	 Objective: 0.5073 	  Acc: 0.875	 Empiric Loss: 0.5059	 Intra-Comp. 0.1445
(37.5%)	Epoch: 15 	 Batch: 0 	 Objective: 0.2757 	  Acc: 1.0	 Empiric Loss: 0.2746	 Intra-Comp. 0.1136
(40.0%)	Epoch: 16 	 Batch: 0 	 Objective: 0.2291 	  Acc: 1.0	 Empiric Loss: 0.228	 Intra-Comp. 0.106
(42.5%)	Epoch: 17 	 Batch: 0 	 Objective: 0.1624 	  Acc: 0.938	 Empiric Loss: 0.1615	 Intra-Comp. 0.09349
(45.0%)	Epoch: 18 	 Batch: 0 	 Objective: 0.2791 	  Acc: 0.812	 Empiric Loss: 0.278	 Intra-Comp. 0.1142
(47.5%)	Epoch: 19 	 Batch: 0 	 Objective: 0.5071 	  Acc: 0.875	 Empiric Loss: 0.5056	 Intra-Comp. 0.1445
(50.0%)	Epoch: 20 	 Batch: 0 	 Objective: 0.1146 	  Acc: 0.938	 Empiric Loss: 0.1138	 Intra-Comp. 0.08286
(52.5%)	Epoch: 21 	 Batch: 0 	 Objective: 0.1847 	  Acc: 0.875	 Empiric Loss: 0.1837	 Intra-Comp. 0.09793
(55.0%)	Epoch: 22 	 Batch: 0 	 Objective: 0.4754 	  Acc: 0.938	 Empiric Loss: 0.474	 Intra-Comp. 0.1408
(57.5%)	Epoch: 23 	 Batch: 0 	 Objective: 0.08932 	  Acc: 1.0	 Empiric Loss: 0.08856	 Intra-Comp. 0.07631
(60.0%)	Epoch: 24 	 Batch: 0 	 Objective: 0.07703 	  Acc: 1.0	 Empiric Loss: 0.0763	 Intra-Comp. 0.07279
(62.5%)	Epoch: 25 	 Batch: 0 	 Objective: 0.1463 	  Acc: 0.938	 Empiric Loss: 0.1454	 Intra-Comp. 0.09013
(65.0%)	Epoch: 26 	 Batch: 0 	 Objective: 0.3626 	  Acc: 0.875	 Empiric Loss: 0.3613	 Intra-Comp. 0.1264
(67.5%)	Epoch: 27 	 Batch: 0 	 Objective: 0.02303 	  Acc: 1.0	 Empiric Loss: 0.02251	 Intra-Comp. 0.05197
(70.0%)	Epoch: 28 	 Batch: 0 	 Objective: 0.1838 	  Acc: 0.875	 Empiric Loss: 0.1828	 Intra-Comp. 0.09777
(72.5%)	Epoch: 29 	 Batch: 0 	 Objective: 0.02692 	  Acc: 1.0	 Empiric Loss: 0.02638	 Intra-Comp. 0.05403
(75.0%)	Epoch: 30 	 Batch: 0 	 Objective: 0.03936 	  Acc: 1.0	 Empiric Loss: 0.03876	 Intra-Comp. 0.05971
(77.5%)	Epoch: 31 	 Batch: 0 	 Objective: 0.02887 	  Acc: 1.0	 Empiric Loss: 0.02832	 Intra-Comp. 0.055
(80.0%)	Epoch: 32 	 Batch: 0 	 Objective: 0.06942 	  Acc: 0.938	 Empiric Loss: 0.06871	 Intra-Comp. 0.07048
(82.5%)	Epoch: 33 	 Batch: 0 	 Objective: 0.02461 	  Acc: 1.0	 Empiric Loss: 0.02408	 Intra-Comp. 0.05284
(85.0%)	Epoch: 34 	 Batch: 0 	 Objective: 0.002975 	  Acc: 1.0	 Empiric Loss: 0.002618	 Intra-Comp. 0.03567
(87.5%)	Epoch: 35 	 Batch: 0 	 Objective: 0.002823 	  Acc: 1.0	 Empiric Loss: 0.002469	 Intra-Comp. 0.03543
(90.0%)	Epoch: 36 	 Batch: 0 	 Objective: 0.005582 	  Acc: 1.0	 Empiric Loss: 0.005191	 Intra-Comp. 0.03912
(92.5%)	Epoch: 37 	 Batch: 0 	 Objective: 0.006897 	  Acc: 1.0	 Empiric Loss: 0.006492	 Intra-Comp. 0.04053
(95.0%)	Epoch: 38 	 Batch: 0 	 Objective: 0.00176 	  Acc: 1.0	 Empiric Loss: 0.001425	 Intra-Comp. 0.03346
(97.5%)	Epoch: 39 	 Batch: 0 	 Objective: 0.005271 	  Acc: 1.0	 Empiric Loss: 0.004883	 Intra-Comp. 0.03876
MaxPosterior Average Test Error: 39.0%	 Runtime: 113.87882951647043 [sec]
0 task : Error 0.38959999999999995, Complexity 0.06907913088798523, loss 1.6754130125045776
(0.0%)	Epoch: 0 	 Batch: 0 	 Objective: 1.643 	  Acc: 0.0625	 Empiric Loss: 1.64	 Intra-Comp. 0.2384
(2.5%)	Epoch: 1 	 Batch: 0 	 Objective: 1.428 	  Acc: 0.375	 Empiric Loss: 1.426	 Intra-Comp. 0.2241
(5.0%)	Epoch: 2 	 Batch: 0 	 Objective: 1.482 	  Acc: 0.375	 Empiric Loss: 1.48	 Intra-Comp. 0.2278
(7.5%)	Epoch: 3 	 Batch: 0 	 Objective: 1.286 	  Acc: 0.625	 Empiric Loss: 1.284	 Intra-Comp. 0.214
(10.0%)	Epoch: 4 	 Batch: 0 	 Objective: 1.185 	  Acc: 0.562	 Empiric Loss: 1.183	 Intra-Comp. 0.2066
(12.5%)	Epoch: 5 	 Batch: 0 	 Objective: 1.258 	  Acc: 0.5	 Empiric Loss: 1.255	 Intra-Comp. 0.212
(15.0%)	Epoch: 6 	 Batch: 0 	 Objective: 1.128 	  Acc: 0.562	 Empiric Loss: 1.126	 Intra-Comp. 0.2022
(17.5%)	Epoch: 7 	 Batch: 0 	 Objective: 0.8066 	  Acc: 0.812	 Empiric Loss: 0.8049	 Intra-Comp. 0.1752
(20.0%)	Epoch: 8 	 Batch: 0 	 Objective: 0.7111 	  Acc: 0.875	 Empiric Loss: 0.7095	 Intra-Comp. 0.1661
(22.5%)	Epoch: 9 	 Batch: 0 	 Objective: 0.717 	  Acc: 0.812	 Empiric Loss: 0.7154	 Intra-Comp. 0.1667
(25.0%)	Epoch: 10 	 Batch: 0 	 Objective: 0.6781 	  Acc: 0.812	 Empiric Loss: 0.6765	 Intra-Comp. 0.1629
(27.5%)	Epoch: 11 	 Batch: 0 	 Objective: 0.4258 	  Acc: 0.875	 Empiric Loss: 0.4244	 Intra-Comp. 0.1347
(30.0%)	Epoch: 12 	 Batch: 0 	 Objective: 0.4758 	  Acc: 0.875	 Empiric Loss: 0.4744	 Intra-Comp. 0.1408
(32.5%)	Epoch: 13 	 Batch: 0 	 Objective: 0.5202 	  Acc: 0.812	 Empiric Loss: 0.5188	 Intra-Comp. 0.146
(35.0%)	Epoch: 14 	 Batch: 0 	 Objective: 0.2196 	  Acc: 0.938	 Empiric Loss: 0.2186	 Intra-Comp. 0.1044
