Log file created at  2019-05-03 10:59:50
Run script: main_Meta_Bayes.py
Parameters:
Namespace(K_Shot_MetaTest=50, K_Shot_MetaTrain=50, N_Way=5, batch_size=16, chars_split_type='random', complexity_type='PAC_Bayes_Pentina', data_path='/data5/tlgao/meta/meta-learning-adjusting-priors/ML_data_sets', data_source='CIFAR100', data_transform='None', limit_train_samples_in_test_tasks=2000, load_model_path='', loss_type='CrossEntropy', lr=0.001, meta_batch_size=16, meta_complex_w=0.0, mode='MetaTrain', model_name='CIFARNet', n_inner_steps=50, n_meta_test_epochs=40, n_meta_train_chars=1200, n_meta_train_classes=500, n_meta_train_epochs=50, n_pixels_shuffles=200, n_test_tasks=10, n_train_tasks=3, result_dir='saved_epoch/CIFAR100__comp_PAC_Bayes_Pentina_ntr_3_nte_10_task-w_0.01_meta-w_0', run_name='CIFAR100__comp_PAC_Bayes_Pentina_ntr_3_nte_10_task-w_0.01_meta-w_0', seed=1, task_complex_w=0.01, test_batch_size=128)
--------------------------------------------------
--- Generating 3 training-tasks
Stochastic-CIFARNet
---- Meta-Training set: 3 tasks
Run finished at:  2019-05-03 11:05:48
MaxPosterior Average Test Error: 30.1%	 Runtime: 346.95419740024954 [sec]
Trained prior saved in saved_epoch/CIFAR100__comp_PAC_Bayes_Pentina_ntr_3_nte_10_task-w_0.01_meta-w_0/model.pt
---- Generating 10 test-tasks with at most 2000 training samples
Meta-Testing with transferred prior....
---------------------Test on Epoch_0------------------------
Meta-Testing task 1 out of 10...
(0.0%)	Epoch: 0 	 Batch: 0 	 Objective: 1.612 	  Acc: 0.312	 Empiric Loss: 1.612	 Intra-Comp. 0.0
(2.5%)	Epoch: 1 	 Batch: 0 	 Objective: 1.28 	  Acc: 0.438	 Empiric Loss: 1.28	 Intra-Comp. 6.836e-06
(5.0%)	Epoch: 2 	 Batch: 0 	 Objective: 0.9608 	  Acc: 0.688	 Empiric Loss: 0.9608	 Intra-Comp. 1.537e-05
(7.5%)	Epoch: 3 	 Batch: 0 	 Objective: 1.166 	  Acc: 0.5	 Empiric Loss: 1.166	 Intra-Comp. 2.565e-05
(10.0%)	Epoch: 4 	 Batch: 0 	 Objective: 1.295 	  Acc: 0.438	 Empiric Loss: 1.295	 Intra-Comp. 3.354e-05
(12.5%)	Epoch: 5 	 Batch: 0 	 Objective: 1.018 	  Acc: 0.625	 Empiric Loss: 1.018	 Intra-Comp. 4.331e-05
(15.0%)	Epoch: 6 	 Batch: 0 	 Objective: 0.5856 	  Acc: 0.75	 Empiric Loss: 0.5856	 Intra-Comp. 5.254e-05
(17.5%)	Epoch: 7 	 Batch: 0 	 Objective: 0.9469 	  Acc: 0.562	 Empiric Loss: 0.9469	 Intra-Comp. 6.546e-05
(20.0%)	Epoch: 8 	 Batch: 0 	 Objective: 1.037 	  Acc: 0.625	 Empiric Loss: 1.037	 Intra-Comp. 7.795e-05
(22.5%)	Epoch: 9 	 Batch: 0 	 Objective: 0.6268 	  Acc: 0.75	 Empiric Loss: 0.6268	 Intra-Comp. 8.933e-05
(25.0%)	Epoch: 10 	 Batch: 0 	 Objective: 0.3203 	  Acc: 1.0	 Empiric Loss: 0.3203	 Intra-Comp. 0.0001023
(27.5%)	Epoch: 11 	 Batch: 0 	 Objective: 0.392 	  Acc: 0.875	 Empiric Loss: 0.392	 Intra-Comp. 0.000118
(30.0%)	Epoch: 12 	 Batch: 0 	 Objective: 0.1045 	  Acc: 1.0	 Empiric Loss: 0.1045	 Intra-Comp. 0.0001313
(32.5%)	Epoch: 13 	 Batch: 0 	 Objective: 0.221 	  Acc: 0.938	 Empiric Loss: 0.221	 Intra-Comp. 0.0001464
(35.0%)	Epoch: 14 	 Batch: 0 	 Objective: 0.1389 	  Acc: 0.938	 Empiric Loss: 0.1389	 Intra-Comp. 0.0001637
(37.5%)	Epoch: 15 	 Batch: 0 	 Objective: 0.1246 	  Acc: 1.0	 Empiric Loss: 0.1246	 Intra-Comp. 0.0001779
(40.0%)	Epoch: 16 	 Batch: 0 	 Objective: 0.06864 	  Acc: 1.0	 Empiric Loss: 0.06863	 Intra-Comp. 0.000191
(42.5%)	Epoch: 17 	 Batch: 0 	 Objective: 0.02622 	  Acc: 1.0	 Empiric Loss: 0.02622	 Intra-Comp. 0.000199
(45.0%)	Epoch: 18 	 Batch: 0 	 Objective: 0.1394 	  Acc: 0.938	 Empiric Loss: 0.1394	 Intra-Comp. 0.0002072
(47.5%)	Epoch: 19 	 Batch: 0 	 Objective: 0.009971 	  Acc: 1.0	 Empiric Loss: 0.009969	 Intra-Comp. 0.0002132
(50.0%)	Epoch: 20 	 Batch: 0 	 Objective: 0.008347 	  Acc: 1.0	 Empiric Loss: 0.008344	 Intra-Comp. 0.0002187
(52.5%)	Epoch: 21 	 Batch: 0 	 Objective: 0.008609 	  Acc: 1.0	 Empiric Loss: 0.008607	 Intra-Comp. 0.0002229
(55.0%)	Epoch: 22 	 Batch: 0 	 Objective: 0.004997 	  Acc: 1.0	 Empiric Loss: 0.004995	 Intra-Comp. 0.0002268
(57.5%)	Epoch: 23 	 Batch: 0 	 Objective: 0.007271 	  Acc: 1.0	 Empiric Loss: 0.007268	 Intra-Comp. 0.0002296
(60.0%)	Epoch: 24 	 Batch: 0 	 Objective: 0.002457 	  Acc: 1.0	 Empiric Loss: 0.002455	 Intra-Comp. 0.0002325
(62.5%)	Epoch: 25 	 Batch: 0 	 Objective: 0.002369 	  Acc: 1.0	 Empiric Loss: 0.002367	 Intra-Comp. 0.0002346
