Log file created at  2019-05-08 16:56:55
Run script: main_Meta_Bayes.py
Parameters:
Namespace(K_Shot_MetaTest=50, K_Shot_MetaTrain=50, N_Way=5, batch_size=16, chars_split_type='random', complexity_type='NewBoundSeeger', data_path='/data5/tlgao/meta/meta-learning-adjusting-priors/ML_data_sets', data_source='Caltech256', data_transform='None', from_pretrain=None, limit_train_samples_in_test_tasks=2000, load_model_path='', loss_type='CrossEntropy', lr=0.001, meta_batch_size=16, meta_complex_w=0.01, mode='MetaTrain', model_name='CIFARNet', n_inner_steps=50, n_meta_test_epochs=40, n_meta_train_chars=1200, n_meta_train_classes=500, n_meta_train_epochs=50, n_pixels_shuffles=200, n_test_tasks=10, n_train_tasks=5, result_dir='saved_epoch/Caltech256__comp_NewBoundSeeger_ntr_5_nte_10_task-w_0.01_meta-w_0.01', run_name='Caltech256__comp_NewBoundSeeger_ntr_5_nte_10_task-w_0.01_meta-w_0.01', seed=1, task_complex_w=0.01, test_batch_size=128)
--------------------------------------------------
--- Generating 5 training-tasks
Stochastic-CIFARNet
---- Meta-Training set: 5 tasks
Run finished at:  2019-05-08 18:16:35
MaxPosterior Average Test Error: 40.6%	 Runtime: 4722.841313465498 [sec]
Trained prior saved in saved_epoch/Caltech256__comp_NewBoundSeeger_ntr_5_nte_10_task-w_0.01_meta-w_0.01/model.pt
---- Generating 10 test-tasks with at most 2000 training samples
Meta-Testing with transferred prior....
---------------------Test on Epoch_0------------------------
Meta-Testing task 1 out of 10...
(0.0%)	Epoch: 0 	 Batch: 0 	 Objective: 1.603 	  Acc: 0.312	 Empiric Loss: 1.6	 Intra-Comp. 0.3389
(2.5%)	Epoch: 1 	 Batch: 0 	 Objective: 1.301 	  Acc: 0.5	 Empiric Loss: 1.298	 Intra-Comp. 0.3104
(5.0%)	Epoch: 2 	 Batch: 0 	 Objective: 0.9067 	  Acc: 0.688	 Empiric Loss: 0.9041	 Intra-Comp. 0.2676
(7.5%)	Epoch: 3 	 Batch: 0 	 Objective: 0.6999 	  Acc: 0.812	 Empiric Loss: 0.6975	 Intra-Comp. 0.2413
(10.0%)	Epoch: 4 	 Batch: 0 	 Objective: 0.3106 	  Acc: 0.938	 Empiric Loss: 0.3088	 Intra-Comp. 0.1778
(12.5%)	Epoch: 5 	 Batch: 0 	 Objective: 0.8019 	  Acc: 0.75	 Empiric Loss: 0.7993	 Intra-Comp. 0.2547
(15.0%)	Epoch: 6 	 Batch: 0 	 Objective: 0.5134 	  Acc: 0.812	 Empiric Loss: 0.5112	 Intra-Comp. 0.214
(17.5%)	Epoch: 7 	 Batch: 0 	 Objective: 0.4197 	  Acc: 0.875	 Empiric Loss: 0.4177	 Intra-Comp. 0.1984
(20.0%)	Epoch: 8 	 Batch: 0 	 Objective: 0.6477 	  Acc: 0.812	 Empiric Loss: 0.6454	 Intra-Comp. 0.2341
(22.5%)	Epoch: 9 	 Batch: 0 	 Objective: 0.4095 	  Acc: 0.812	 Empiric Loss: 0.4075	 Intra-Comp. 0.1966
(25.0%)	Epoch: 10 	 Batch: 0 	 Objective: 0.09917 	  Acc: 1.0	 Empiric Loss: 0.09794	 Intra-Comp. 0.1227
