Log file created at  2019-05-16 18:43:45
Run script: main_Meta_Bayes.py
Parameters:
Namespace(K_Shot_MetaTest=50, K_Shot_MetaTrain=50, N_Way=5, batch_size=16, chars_split_type='random', complexity_type='NewBoundSeeger', data_path='/data5/tlgao/meta/meta-learning-adjusting-priors/ML_data_sets', data_source='CIFAR100', data_transform='None', from_pretrain=1, limit_train_samples_in_test_tasks=2000, load_model_path='', loss_type='CrossEntropy', lr=0.001, meta_batch_size=16, meta_complex_w=0.01, mode='LoadMetaModel', model_name='CIFARNet', n_inner_steps=50, n_meta_test_epochs=40, n_meta_train_chars=1200, n_meta_train_classes=500, n_meta_train_epochs=50, n_pixels_shuffles=200, n_test_tasks=10, n_train_tasks=1, result_dir='saved_epoch/CIFAR100__comp_NewBoundSeeger_ntr_1_nte_10_task-w_0.01_meta-w_0.01_pre-1', run_name='CIFAR100__comp_NewBoundSeeger_ntr_1_nte_10_task-w_0.01_meta-w_0.01_pre-1', seed=1, task_complex_w=0.01, test_batch_size=128)
--------------------------------------------------
Pre-trained  prior loaded from saved_epoch/CIFAR100__comp_NewBoundSeeger_ntr_1_nte_10_task-w_0.01_meta-w_0.01_pre-1/model.pt
---- Generating 10 test-tasks with at most 2000 training samples
Meta-Testing with transferred prior....
---------------------Test on Epoch_10------------------------
Meta-Testing task 1 out of 10...
(0.0%)	Epoch: 0 	 Batch: 0 	 Objective: 2.293 	  Acc: 0.125	 Empiric Loss: 2.289	 Intra-Comp. 0.3952, w_kld 0.0, b_kld 0.0
(2.5%)	Epoch: 1 	 Batch: 0 	 Objective: 1.241 	  Acc: 0.625	 Empiric Loss: 1.238	 Intra-Comp. 0.3043, w_kld 7.213e-05, b_kld 5.879e-05
(5.0%)	Epoch: 2 	 Batch: 0 	 Objective: 1.227 	  Acc: 0.438	 Empiric Loss: 1.224	 Intra-Comp. 0.3029, w_kld 0.0001364, b_kld 6.878e-05
(7.5%)	Epoch: 3 	 Batch: 0 	 Objective: 0.5327 	  Acc: 0.812	 Empiric Loss: 0.5306	 Intra-Comp. 0.2171, w_kld 0.0001935, b_kld 8.457e-05
(10.0%)	Epoch: 4 	 Batch: 0 	 Objective: 0.4235 	  Acc: 0.875	 Empiric Loss: 0.4215	 Intra-Comp. 0.1991, w_kld 0.0002416, b_kld 9.762e-05
(12.5%)	Epoch: 5 	 Batch: 0 	 Objective: 0.2064 	  Acc: 1.0	 Empiric Loss: 0.2049	 Intra-Comp. 0.1544, w_kld 0.0002938, b_kld 0.0001151
(15.0%)	Epoch: 6 	 Batch: 0 	 Objective: 0.1266 	  Acc: 1.0	 Empiric Loss: 0.1252	 Intra-Comp. 0.132, w_kld 0.0003454, b_kld 0.0001404
(17.5%)	Epoch: 7 	 Batch: 0 	 Objective: 0.1783 	  Acc: 1.0	 Empiric Loss: 0.1768	 Intra-Comp. 0.1471, w_kld 0.0003931, b_kld 0.0001501
(20.0%)	Epoch: 8 	 Batch: 0 	 Objective: 0.04123 	  Acc: 1.0	 Empiric Loss: 0.04026	 Intra-Comp. 0.09718, w_kld 0.0004402, b_kld 0.0001668
(22.5%)	Epoch: 9 	 Batch: 0 	 Objective: 0.04731 	  Acc: 1.0	 Empiric Loss: 0.04631	 Intra-Comp. 0.1005, w_kld 0.0004813, b_kld 0.0001764
(25.0%)	Epoch: 10 	 Batch: 0 	 Objective: 0.02544 	  Acc: 1.0	 Empiric Loss: 0.02457	 Intra-Comp. 0.08721, w_kld 0.0005155, b_kld 0.0001783
(27.5%)	Epoch: 11 	 Batch: 0 	 Objective: 0.03211 	  Acc: 1.0	 Empiric Loss: 0.03119	 Intra-Comp. 0.09172, w_kld 0.0005473, b_kld 0.0001824
(30.0%)	Epoch: 12 	 Batch: 0 	 Objective: 0.02475 	  Acc: 1.0	 Empiric Loss: 0.02388	 Intra-Comp. 0.08671, w_kld 0.0005696, b_kld 0.0001877
(32.5%)	Epoch: 13 	 Batch: 0 	 Objective: 0.01929 	  Acc: 1.0	 Empiric Loss: 0.01847	 Intra-Comp. 0.08247, w_kld 0.0005891, b_kld 0.0001932
