Log file created at  2019-05-16 18:48:41
Run script: main_Meta_Bayes.py
Parameters:
Namespace(K_Shot_MetaTest=50, K_Shot_MetaTrain=50, N_Way=5, batch_size=16, chars_split_type='random', complexity_type='NewBoundSeeger', data_path='/data5/tlgao/meta/meta-learning-adjusting-priors/ML_data_sets', data_source='CIFAR100', data_transform='None', from_pretrain=1, limit_train_samples_in_test_tasks=2000, load_model_path='', loss_type='CrossEntropy', lr=0.001, meta_batch_size=16, meta_complex_w=0.01, mode='LoadMetaModel', model_name='CIFARNet', n_inner_steps=50, n_meta_test_epochs=40, n_meta_train_chars=1200, n_meta_train_classes=500, n_meta_train_epochs=50, n_pixels_shuffles=200, n_test_tasks=10, n_train_tasks=15, result_dir='saved_epoch/CIFAR100__comp_NewBoundSeeger_ntr_15_nte_10_task-w_0.01_meta-w_0.01_pre-1', run_name='CIFAR100__comp_NewBoundSeeger_ntr_15_nte_10_task-w_0.01_meta-w_0.01_pre-1', seed=1, task_complex_w=0.01, test_batch_size=128)
--------------------------------------------------
Pre-trained  prior loaded from saved_epoch/CIFAR100__comp_NewBoundSeeger_ntr_15_nte_10_task-w_0.01_meta-w_0.01_pre-1/model.pt
---- Generating 10 test-tasks with at most 2000 training samples
Meta-Testing with transferred prior....
---------------------Test on Epoch_10------------------------
Meta-Testing task 1 out of 10...
(62.5%)	Epoch: 25 	 Batch: 0 	 Objective: 0.004532 	  Acc: 1.0	 Empiric Loss: 0.003875	 Intra-Comp. 0.06575, w_kld 0.0008183, b_kld 0.0003941
(65.0%)	Epoch: 26 	 Batch: 0 	 Objective: 0.003355 	  Acc: 1.0	 Empiric Loss: 0.00272	 Intra-Comp. 0.06345, w_kld 0.0008273, b_kld 0.000398
(67.5%)	Epoch: 27 	 Batch: 0 	 Objective: 0.002268 	  Acc: 1.0	 Empiric Loss: 0.00166	 Intra-Comp. 0.06086, w_kld 0.0008362, b_kld 0.0004021
(70.0%)	Epoch: 28 	 Batch: 0 	 Objective: 0.003231 	  Acc: 1.0	 Empiric Loss: 0.0026	 Intra-Comp. 0.06319, w_kld 0.0008446, b_kld 0.0004048
(72.5%)	Epoch: 29 	 Batch: 0 	 Objective: 0.002178 	  Acc: 1.0	 Empiric Loss: 0.001572	 Intra-Comp. 0.06061, w_kld 0.0008529, b_kld 0.0004075
(75.0%)	Epoch: 30 	 Batch: 0 	 Objective: 0.002809 	  Acc: 1.0	 Empiric Loss: 0.002187	 Intra-Comp. 0.06223, w_kld 0.0008605, b_kld 0.0004106
(77.5%)	Epoch: 31 	 Batch: 0 	 Objective: 0.002082 	  Acc: 1.0	 Empiric Loss: 0.001478	 Intra-Comp. 0.06034, w_kld 0.0008683, b_kld 0.0004138
(80.0%)	Epoch: 32 	 Batch: 0 	 Objective: 0.002051 	  Acc: 1.0	 Empiric Loss: 0.001448	 Intra-Comp. 0.06025, w_kld 0.0008756, b_kld 0.0004165
(82.5%)	Epoch: 33 	 Batch: 0 	 Objective: 0.002714 	  Acc: 1.0	 Empiric Loss: 0.002094	 Intra-Comp. 0.062, w_kld 0.0008825, b_kld 0.000419
(85.0%)	Epoch: 34 	 Batch: 0 	 Objective: 0.002061 	  Acc: 1.0	 Empiric Loss: 0.001458	 Intra-Comp. 0.06028, w_kld 0.0008897, b_kld 0.0004222
(87.5%)	Epoch: 35 	 Batch: 0 	 Objective: 0.001664 	  Acc: 1.0	 Empiric Loss: 0.001073	 Intra-Comp. 0.05905, w_kld 0.0008963, b_kld 0.0004247
(90.0%)	Epoch: 36 	 Batch: 0 	 Objective: 0.001836 	  Acc: 1.0	 Empiric Loss: 0.00124	 Intra-Comp. 0.05961, w_kld 0.0009031, b_kld 0.0004267
(92.5%)	Epoch: 37 	 Batch: 0 	 Objective: 0.002348 	  Acc: 1.0	 Empiric Loss: 0.001738	 Intra-Comp. 0.06108, w_kld 0.0009094, b_kld 0.0004297
(95.0%)	Epoch: 38 	 Batch: 0 	 Objective: 0.002287 	  Acc: 1.0	 Empiric Loss: 0.001678	 Intra-Comp. 0.06091, w_kld 0.0009155, b_kld 0.000432
(97.5%)	Epoch: 39 	 Batch: 0 	 Objective: 0.001685 	  Acc: 1.0	 Empiric Loss: 0.001094	 Intra-Comp. 0.05912, w_kld 0.0009214, b_kld 0.0004341
MaxPosterior Average Test Error: 24.8%	 Runtime: 111.89132828998845 [sec]
Meta-Testing task 2 out of 10...
(0.0%)	Epoch: 0 	 Batch: 0 	 Objective: 1.957 	  Acc: 0.0625	 Empiric Loss: 1.954	 Intra-Comp. 0.3691, w_kld 0.0, b_kld 0.0
(2.5%)	Epoch: 1 	 Batch: 0 	 Objective: 0.8794 	  Acc: 0.625	 Empiric Loss: 0.8768	 Intra-Comp. 0.2643, w_kld 7.193e-05, b_kld 4.022e-05
(5.0%)	Epoch: 2 	 Batch: 0 	 Objective: 0.3142 	  Acc: 0.875	 Empiric Loss: 0.3124	 Intra-Comp. 0.1786, w_kld 0.0001407, b_kld 5.556e-05
(7.5%)	Epoch: 3 	 Batch: 0 	 Objective: 0.1375 	  Acc: 1.0	 Empiric Loss: 0.1361	 Intra-Comp. 0.1354, w_kld 0.0001949, b_kld 8.275e-05
(10.0%)	Epoch: 4 	 Batch: 0 	 Objective: 0.08487 	  Acc: 1.0	 Empiric Loss: 0.0837	 Intra-Comp. 0.1173, w_kld 0.0002425, b_kld 0.0001041
(12.5%)	Epoch: 5 	 Batch: 0 	 Objective: 0.1151 	  Acc: 0.938	 Empiric Loss: 0.1138	 Intra-Comp. 0.1282, w_kld 0.0002852, b_kld 0.0001155
(15.0%)	Epoch: 6 	 Batch: 0 	 Objective: 0.03436 	  Acc: 1.0	 Empiric Loss: 0.03342	 Intra-Comp. 0.09313, w_kld 0.0003246, b_kld 0.0001289
(17.5%)	Epoch: 7 	 Batch: 0 	 Objective: 0.02949 	  Acc: 1.0	 Empiric Loss: 0.02859	 Intra-Comp. 0.09001, w_kld 0.0003631, b_kld 0.0001438
(20.0%)	Epoch: 8 	 Batch: 0 	 Objective: 0.0646 	  Acc: 1.0	 Empiric Loss: 0.06351	 Intra-Comp. 0.1089, w_kld 0.0003944, b_kld 0.0001532
(22.5%)	Epoch: 9 	 Batch: 0 	 Objective: 0.01363 	  Acc: 1.0	 Empiric Loss: 0.01286	 Intra-Comp. 0.07736, w_kld 0.0004238, b_kld 0.000166
(25.0%)	Epoch: 10 	 Batch: 0 	 Objective: 0.01297 	  Acc: 1.0	 Empiric Loss: 0.0122	 Intra-Comp. 0.07669, w_kld 0.0004446, b_kld 0.0001712
(27.5%)	Epoch: 11 	 Batch: 0 	 Objective: 0.00967 	  Acc: 1.0	 Empiric Loss: 0.00894	 Intra-Comp. 0.07308, w_kld 0.0004609, b_kld 0.0001774
(30.0%)	Epoch: 12 	 Batch: 0 	 Objective: 0.007723 	  Acc: 1.0	 Empiric Loss: 0.007017	 Intra-Comp. 0.07063, w_kld 0.0004754, b_kld 0.0001793
(32.5%)	Epoch: 13 	 Batch: 0 	 Objective: 0.007902 	  Acc: 1.0	 Empiric Loss: 0.007194	 Intra-Comp. 0.07087, w_kld 0.0004897, b_kld 0.0001866
(35.0%)	Epoch: 14 	 Batch: 0 	 Objective: 0.003776 	  Acc: 1.0	 Empiric Loss: 0.003133	 Intra-Comp. 0.06432, w_kld 0.000502, b_kld 0.0001896
(37.5%)	Epoch: 15 	 Batch: 0 	 Objective: 0.003639 	  Acc: 1.0	 Empiric Loss: 0.002999	 Intra-Comp. 0.06404, w_kld 0.0005134, b_kld 0.0001944
(40.0%)	Epoch: 16 	 Batch: 0 	 Objective: 0.00266 	  Acc: 1.0	 Empiric Loss: 0.002041	 Intra-Comp. 0.06187, w_kld 0.0005238, b_kld 0.0001965
(42.5%)	Epoch: 17 	 Batch: 0 	 Objective: 0.002155 	  Acc: 1.0	 Empiric Loss: 0.001549	 Intra-Comp. 0.06054, w_kld 0.0005339, b_kld 0.0002006
(45.0%)	Epoch: 18 	 Batch: 0 	 Objective: 0.003713 	  Acc: 1.0	 Empiric Loss: 0.003071	 Intra-Comp. 0.06419, w_kld 0.000543, b_kld 0.0002027
(47.5%)	Epoch: 19 	 Batch: 0 	 Objective: 0.004447 	  Acc: 1.0	 Empiric Loss: 0.003792	 Intra-Comp. 0.06559, w_kld 0.0005515, b_kld 0.0002062
(50.0%)	Epoch: 20 	 Batch: 0 	 Objective: 0.004233 	  Acc: 1.0	 Empiric Loss: 0.003581	 Intra-Comp. 0.0652, w_kld 0.0005598, b_kld 0.0002076
(52.5%)	Epoch: 21 	 Batch: 0 	 Objective: 0.002207 	  Acc: 1.0	 Empiric Loss: 0.0016	 Intra-Comp. 0.06069, w_kld 0.0005674, b_kld 0.0002111
(55.0%)	Epoch: 22 	 Batch: 0 	 Objective: 0.001458 	  Acc: 1.0	 Empiric Loss: 0.0008747	 Intra-Comp. 0.05832, w_kld 0.0005743, b_kld 0.0002128
(57.5%)	Epoch: 23 	 Batch: 0 	 Objective: 0.003823 	  Acc: 1.0	 Empiric Loss: 0.003179	 Intra-Comp. 0.06441, w_kld 0.0005812, b_kld 0.000215
(60.0%)	Epoch: 24 	 Batch: 0 	 Objective: 0.002764 	  Acc: 1.0	 Empiric Loss: 0.002142	 Intra-Comp. 0.06212, w_kld 0.0005878, b_kld 0.0002172
(62.5%)	Epoch: 25 	 Batch: 0 	 Objective: 0.002144 	  Acc: 1.0	 Empiric Loss: 0.001539	 Intra-Comp. 0.06052, w_kld 0.0005943, b_kld 0.0002193
(65.0%)	Epoch: 26 	 Batch: 0 	 Objective: 0.002465 	  Acc: 1.0	 Empiric Loss: 0.001851	 Intra-Comp. 0.06138, w_kld 0.0006003, b_kld 0.0002217
(67.5%)	Epoch: 27 	 Batch: 0 	 Objective: 0.001718 	  Acc: 1.0	 Empiric Loss: 0.001126	 Intra-Comp. 0.05923, w_kld 0.0006059, b_kld 0.0002231
(70.0%)	Epoch: 28 	 Batch: 0 	 Objective: 0.001778 	  Acc: 1.0	 Empiric Loss: 0.001184	 Intra-Comp. 0.05942, w_kld 0.0006117, b_kld 0.0002249
(72.5%)	Epoch: 29 	 Batch: 0 	 Objective: 0.001788 	  Acc: 1.0	 Empiric Loss: 0.001194	 Intra-Comp. 0.05945, w_kld 0.0006172, b_kld 0.0002271
(75.0%)	Epoch: 30 	 Batch: 0 	 Objective: 0.002003 	  Acc: 1.0	 Empiric Loss: 0.001401	 Intra-Comp. 0.06011, w_kld 0.0006224, b_kld 0.0002281
(77.5%)	Epoch: 31 	 Batch: 0 	 Objective: 0.001591 	  Acc: 1.0	 Empiric Loss: 0.001003	 Intra-Comp. 0.0588, w_kld 0.0006277, b_kld 0.0002299
