Log file created at  2019-04-22 17:17:11
Run script: main_Meta_Bayes.py
Parameters:
Namespace(K_Shot_MetaTest=100, K_Shot_MetaTrain=100, N_Way=5, batch_size=16, chars_split_type='random', complexity_type='NewBoundSeeger', data_path='/data5/tlgao/meta/meta-learning-adjusting-priors/ML_data_sets', data_source='CIFAR100', data_transform='None', limit_train_samples_in_test_tasks=2000, load_model_path='', loss_type='CrossEntropy', lr=0.001, meta_batch_size=16, meta_complex_w=0.1, mode='MetaTrain', model_name='CIFARNet', n_inner_steps=50, n_meta_test_epochs=40, n_meta_train_chars=1200, n_meta_train_classes=500, n_meta_train_epochs=50, n_pixels_shuffles=200, n_test_tasks=50, n_train_tasks=3, result_dir='saved/CIFAR100__comp_NewBoundSeeger_ntr_3_nte_50_task-w_0.1_meta-w_0.1', run_name='CIFAR100__comp_NewBoundSeeger_ntr_3_nte_50_task-w_0.1_meta-w_0.1', seed=1, task_complex_w=0.1, test_batch_size=128)
--------------------------------------------------
--- Generating 3 training-tasks
Stochastic-CIFARNet
---- Meta-Training set: 3 tasks
Run finished at:  2019-04-22 17:24:35
MaxPosterior Average Test Error: 25.4%	 Runtime: 432.38864529691637 [sec]
Trained prior saved in saved/CIFAR100__comp_NewBoundSeeger_ntr_3_nte_50_task-w_0.1_meta-w_0.1/model.pt
---- Generating 50 test-tasks with at most 2000 training samples
Meta-Testing with transferred prior....
(0.0%)	Epoch: 0 	 Batch: 0 	 Objective: 1.626 	  Acc: 0.312	 Empiric Loss: 1.602	 Intra-Comp. 0.2359
(2.5%)	Epoch: 1 	 Batch: 0 	 Objective: 1.241 	  Acc: 0.375	 Empiric Loss: 1.22	 Intra-Comp. 0.2093
(5.0%)	Epoch: 2 	 Batch: 0 	 Objective: 1.395 	  Acc: 0.5	 Empiric Loss: 1.373	 Intra-Comp. 0.2204
(7.5%)	Epoch: 3 	 Batch: 0 	 Objective: 0.6962 	  Acc: 0.875	 Empiric Loss: 0.6799	 Intra-Comp. 0.1632
(10.0%)	Epoch: 4 	 Batch: 0 	 Objective: 1.156 	  Acc: 0.438	 Empiric Loss: 1.135	 Intra-Comp. 0.2029
(12.5%)	Epoch: 5 	 Batch: 0 	 Objective: 0.5884 	  Acc: 0.812	 Empiric Loss: 0.5732	 Intra-Comp. 0.152
(15.0%)	Epoch: 6 	 Batch: 0 	 Objective: 0.7026 	  Acc: 0.812	 Empiric Loss: 0.6862	 Intra-Comp. 0.1638
(17.5%)	Epoch: 7 	 Batch: 0 	 Objective: 0.8382 	  Acc: 0.75	 Empiric Loss: 0.8205	 Intra-Comp. 0.1766
(20.0%)	Epoch: 8 	 Batch: 0 	 Objective: 0.4253 	  Acc: 0.875	 Empiric Loss: 0.412	 Intra-Comp. 0.1331
(22.5%)	Epoch: 9 	 Batch: 0 	 Objective: 0.427 	  Acc: 0.812	 Empiric Loss: 0.4136	 Intra-Comp. 0.1333
(25.0%)	Epoch: 10 	 Batch: 0 	 Objective: 0.5423 	  Acc: 0.875	 Empiric Loss: 0.5276	 Intra-Comp. 0.147
(27.5%)	Epoch: 11 	 Batch: 0 	 Objective: 0.264 	  Acc: 0.938	 Empiric Loss: 0.2529	 Intra-Comp. 0.1102
(30.0%)	Epoch: 12 	 Batch: 0 	 Objective: 0.4488 	  Acc: 0.812	 Empiric Loss: 0.4352	 Intra-Comp. 0.136
(32.5%)	Epoch: 13 	 Batch: 0 	 Objective: 0.1953 	  Acc: 0.938	 Empiric Loss: 0.1855	 Intra-Comp. 0.09824
(35.0%)	Epoch: 14 	 Batch: 0 	 Objective: 0.3918 	  Acc: 0.812	 Empiric Loss: 0.3789	 Intra-Comp. 0.1288
(37.5%)	Epoch: 15 	 Batch: 0 	 Objective: 0.09404 	  Acc: 1.0	 Empiric Loss: 0.08647	 Intra-Comp. 0.07572
(40.0%)	Epoch: 16 	 Batch: 0 	 Objective: 0.02829 	  Acc: 1.0	 Empiric Loss: 0.02306	 Intra-Comp. 0.05226
(42.5%)	Epoch: 17 	 Batch: 0 	 Objective: 0.1337 	  Acc: 1.0	 Empiric Loss: 0.1251	 Intra-Comp. 0.08556
(45.0%)	Epoch: 18 	 Batch: 0 	 Objective: 0.09988 	  Acc: 1.0	 Empiric Loss: 0.09215	 Intra-Comp. 0.0773
(47.5%)	Epoch: 19 	 Batch: 0 	 Objective: 0.09965 	  Acc: 1.0	 Empiric Loss: 0.09193	 Intra-Comp. 0.07724
(50.0%)	Epoch: 20 	 Batch: 0 	 Objective: 0.04585 	  Acc: 1.0	 Empiric Loss: 0.03984	 Intra-Comp. 0.06015
(52.5%)	Epoch: 21 	 Batch: 0 	 Objective: 0.01773 	  Acc: 1.0	 Empiric Loss: 0.01312	 Intra-Comp. 0.04612
(55.0%)	Epoch: 22 	 Batch: 0 	 Objective: 0.0142 	  Acc: 1.0	 Empiric Loss: 0.00984	 Intra-Comp. 0.04359
(57.5%)	Epoch: 23 	 Batch: 0 	 Objective: 0.01651 	  Acc: 1.0	 Empiric Loss: 0.01199	 Intra-Comp. 0.04529
(60.0%)	Epoch: 24 	 Batch: 0 	 Objective: 0.1252 	  Acc: 0.938	 Empiric Loss: 0.1168	 Intra-Comp. 0.08361
(62.5%)	Epoch: 25 	 Batch: 0 	 Objective: 0.008104 	  Acc: 1.0	 Empiric Loss: 0.004299	 Intra-Comp. 0.03804
(65.0%)	Epoch: 26 	 Batch: 0 	 Objective: 0.006652 	  Acc: 1.0	 Empiric Loss: 0.003022	 Intra-Comp. 0.03629
(67.5%)	Epoch: 27 	 Batch: 0 	 Objective: 0.008324 	  Acc: 1.0	 Empiric Loss: 0.004495	 Intra-Comp. 0.03829
(70.0%)	Epoch: 28 	 Batch: 0 	 Objective: 0.006877 	  Acc: 1.0	 Empiric Loss: 0.003218	 Intra-Comp. 0.03658
(72.5%)	Epoch: 29 	 Batch: 0 	 Objective: 0.005205 	  Acc: 1.0	 Empiric Loss: 0.001785	 Intra-Comp. 0.0342
(75.0%)	Epoch: 30 	 Batch: 0 	 Objective: 0.004523 	  Acc: 1.0	 Empiric Loss: 0.001223	 Intra-Comp. 0.033
(77.5%)	Epoch: 31 	 Batch: 0 	 Objective: 0.005171 	  Acc: 1.0	 Empiric Loss: 0.001757	 Intra-Comp. 0.03414
(80.0%)	Epoch: 32 	 Batch: 0 	 Objective: 0.004743 	  Acc: 1.0	 Empiric Loss: 0.001402	 Intra-Comp. 0.0334
(82.5%)	Epoch: 33 	 Batch: 0 	 Objective: 0.005811 	  Acc: 1.0	 Empiric Loss: 0.002297	 Intra-Comp. 0.03513
(85.0%)	Epoch: 34 	 Batch: 0 	 Objective: 0.005067 	  Acc: 1.0	 Empiric Loss: 0.00167	 Intra-Comp. 0.03397
(87.5%)	Epoch: 35 	 Batch: 0 	 Objective: 0.003846 	  Acc: 1.0	 Empiric Loss: 0.00069	 Intra-Comp. 0.03156
(90.0%)	Epoch: 36 	 Batch: 0 	 Objective: 0.004248 	  Acc: 1.0	 Empiric Loss: 0.001003	 Intra-Comp. 0.03245
(92.5%)	Epoch: 37 	 Batch: 0 	 Objective: 0.0048 	  Acc: 1.0	 Empiric Loss: 0.001449	 Intra-Comp. 0.03351
(95.0%)	Epoch: 38 	 Batch: 0 	 Objective: 0.004502 	  Acc: 1.0	 Empiric Loss: 0.001207	 Intra-Comp. 0.03296
(97.5%)	Epoch: 39 	 Batch: 0 	 Objective: 0.003298 	  Acc: 1.0	 Empiric Loss: 0.0002929	 Intra-Comp. 0.03005
MaxPosterior Average Test Error: 35.8%	 Runtime: 107.22933401819319 [sec]
0 task : Error 0.358, Complexity 0.06557060778141022, loss 1.6536884307861328
(0.0%)	Epoch: 0 	 Batch: 0 	 Objective: 1.626 	  Acc: 0.25	 Empiric Loss: 1.603	 Intra-Comp. 0.2359
(2.5%)	Epoch: 1 	 Batch: 0 	 Objective: 1.532 	  Acc: 0.375	 Empiric Loss: 1.509	 Intra-Comp. 0.2297
(5.0%)	Epoch: 2 	 Batch: 0 	 Objective: 1.251 	  Acc: 0.438	 Empiric Loss: 1.23	 Intra-Comp. 0.2101
(7.5%)	Epoch: 3 	 Batch: 0 	 Objective: 0.7811 	  Acc: 0.75	 Empiric Loss: 0.764	 Intra-Comp. 0.1713
(10.0%)	Epoch: 4 	 Batch: 0 	 Objective: 1.241 	  Acc: 0.688	 Empiric Loss: 1.22	 Intra-Comp. 0.2093
(12.5%)	Epoch: 5 	 Batch: 0 	 Objective: 0.5947 	  Acc: 0.812	 Empiric Loss: 0.5794	 Intra-Comp. 0.1527
(15.0%)	Epoch: 6 	 Batch: 0 	 Objective: 0.6198 	  Acc: 0.812	 Empiric Loss: 0.6042	 Intra-Comp. 0.1554
(17.5%)	Epoch: 7 	 Batch: 0 	 Objective: 1.015 	  Acc: 0.562	 Empiric Loss: 0.9962	 Intra-Comp. 0.1918
(20.0%)	Epoch: 8 	 Batch: 0 	 Objective: 0.6949 	  Acc: 0.688	 Empiric Loss: 0.6786	 Intra-Comp. 0.1631
(22.5%)	Epoch: 9 	 Batch: 0 	 Objective: 0.6774 	  Acc: 0.75	 Empiric Loss: 0.6612	 Intra-Comp. 0.1613
(25.0%)	Epoch: 10 	 Batch: 0 	 Objective: 0.6039 	  Acc: 0.812	 Empiric Loss: 0.5885	 Intra-Comp. 0.1537
(27.5%)	Epoch: 11 	 Batch: 0 	 Objective: 0.7227 	  Acc: 0.75	 Empiric Loss: 0.7061	 Intra-Comp. 0.1658
(30.0%)	Epoch: 12 	 Batch: 0 	 Objective: 0.4929 	  Acc: 0.812	 Empiric Loss: 0.4788	 Intra-Comp. 0.1413
(32.5%)	Epoch: 13 	 Batch: 0 	 Objective: 0.6193 	  Acc: 0.875	 Empiric Loss: 0.6038	 Intra-Comp. 0.1554
(35.0%)	Epoch: 14 	 Batch: 0 	 Objective: 0.4552 	  Acc: 0.875	 Empiric Loss: 0.4415	 Intra-Comp. 0.1368
(37.5%)	Epoch: 15 	 Batch: 0 	 Objective: 0.3297 	  Acc: 0.875	 Empiric Loss: 0.3177	 Intra-Comp. 0.1202
(40.0%)	Epoch: 16 	 Batch: 0 	 Objective: 0.1245 	  Acc: 1.0	 Empiric Loss: 0.1162	 Intra-Comp. 0.08343
(42.5%)	Epoch: 17 	 Batch: 0 	 Objective: 0.461 	  Acc: 0.875	 Empiric Loss: 0.4472	 Intra-Comp. 0.1375
(45.0%)	Epoch: 18 	 Batch: 0 	 Objective: 0.06978 	  Acc: 1.0	 Empiric Loss: 0.06292	 Intra-Comp. 0.06859
(47.5%)	Epoch: 19 	 Batch: 0 	 Objective: 0.0955 	  Acc: 1.0	 Empiric Loss: 0.08789	 Intra-Comp. 0.07612
(50.0%)	Epoch: 20 	 Batch: 0 	 Objective: 0.1074 	  Acc: 1.0	 Empiric Loss: 0.09951	 Intra-Comp. 0.07926
(52.5%)	Epoch: 21 	 Batch: 0 	 Objective: 0.03205 	  Acc: 1.0	 Empiric Loss: 0.02664	 Intra-Comp. 0.05414
(55.0%)	Epoch: 22 	 Batch: 0 	 Objective: 0.05915 	  Acc: 1.0	 Empiric Loss: 0.05264	 Intra-Comp. 0.06507
(57.5%)	Epoch: 23 	 Batch: 0 	 Objective: 0.04758 	  Acc: 1.0	 Empiric Loss: 0.0415	 Intra-Comp. 0.06083
(60.0%)	Epoch: 24 	 Batch: 0 	 Objective: 0.06685 	  Acc: 1.0	 Empiric Loss: 0.06008	 Intra-Comp. 0.06766
(62.5%)	Epoch: 25 	 Batch: 0 	 Objective: 0.08522 	  Acc: 1.0	 Empiric Loss: 0.07789	 Intra-Comp. 0.07327
(65.0%)	Epoch: 26 	 Batch: 0 	 Objective: 0.1803 	  Acc: 0.938	 Empiric Loss: 0.1707	 Intra-Comp. 0.0954
(67.5%)	Epoch: 27 	 Batch: 0 	 Objective: 0.01328 	  Acc: 1.0	 Empiric Loss: 0.008991	 Intra-Comp. 0.04287
(70.0%)	Epoch: 28 	 Batch: 0 	 Objective: 0.009531 	  Acc: 1.0	 Empiric Loss: 0.005577	 Intra-Comp. 0.03955
(72.5%)	Epoch: 29 	 Batch: 0 	 Objective: 0.005463 	  Acc: 1.0	 Empiric Loss: 0.002003	 Intra-Comp. 0.03461
(75.0%)	Epoch: 30 	 Batch: 0 	 Objective: 0.009154 	  Acc: 1.0	 Empiric Loss: 0.005238	 Intra-Comp. 0.03917
(77.5%)	Epoch: 31 	 Batch: 0 	 Objective: 0.01092 	  Acc: 1.0	 Empiric Loss: 0.006831	 Intra-Comp. 0.04086
(80.0%)	Epoch: 32 	 Batch: 0 	 Objective: 0.005629 	  Acc: 1.0	 Empiric Loss: 0.002142	 Intra-Comp. 0.03486
(82.5%)	Epoch: 33 	 Batch: 0 	 Objective: 0.00726 	  Acc: 1.0	 Empiric Loss: 0.003553	 Intra-Comp. 0.03706
(85.0%)	Epoch: 34 	 Batch: 0 	 Objective: 0.007183 	  Acc: 1.0	 Empiric Loss: 0.003486	 Intra-Comp. 0.03697
(87.5%)	Epoch: 35 	 Batch: 0 	 Objective: 0.003557 	  Acc: 1.0	 Empiric Loss: 0.0004746	 Intra-Comp. 0.03082
(90.0%)	Epoch: 36 	 Batch: 0 	 Objective: 0.003968 	  Acc: 1.0	 Empiric Loss: 0.0007837	 Intra-Comp. 0.03184
(92.5%)	Epoch: 37 	 Batch: 0 	 Objective: 0.005914 	  Acc: 1.0	 Empiric Loss: 0.002385	 Intra-Comp. 0.03528
(95.0%)	Epoch: 38 	 Batch: 0 	 Objective: 0.003727 	  Acc: 1.0	 Empiric Loss: 0.0006	 Intra-Comp. 0.03127
